Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_515.jpg;0;1;0;0.6944216;99.78818;85.26726;1.196885;290.3204;-0.0008337719
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_567.jpg;0;1;0;0.7471257;99.79853;85.23891;1.194778;290.3327;-0.001346974
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_617.jpg;0;1;0;0.7894942;99.81487;85.19425;1.197767;290.3211;-0.0002824073
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_665.jpg;0;1;0;0.8225513;99.82638;85.16282;1.206823;290.2784;-0.0003598787
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_715.jpg;0;1;0;0.8780223;99.84457;85.11307;1.222667;290.2583;-0.001111239
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_766.jpg;0;1;0;0.9072961;99.85712;85.07862;1.222927;290.3069;-0.001658353
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_816.jpg;0;1;0;0.9656763;99.87694;85.02438;1.223587;290.313;-0.0008640692
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_867.jpg;0;1;0;0.9979343;99.89069;84.98675;1.219312;290.3088;-0.0008246119
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_916.jpg;0;1;0;1.040369;99.9121;84.92822;1.209749;290.3021;-0.0004218449
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_13_965.jpg;0;1;0;1.075085;99.92705;84.88733;1.222994;290.2973;-0.0008046515
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_016.jpg;0;1;0;1.121191;99.95021;84.82396;1.231945;290.288;-0.00086602
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_065.jpg;0;1;0;1.151033;99.96607;84.78055;1.226056;290.2738;-0.0007197224
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_116.jpg;0;1;0;1.197259;99.9907;84.71309;1.223198;290.2227;-0.0006870308
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_165.jpg;0;1;0;1.22857;100.0077;84.66656;1.226621;290.2014;-0.0007472499
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_216.jpg;0;0.9500108;0;1.27507;100.0339;84.59453;1.233271;290.1742;-0.000890879
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_266.jpg;2.202163;0.8031999;0;1.30555;100.0521;84.54534;1.233822;290.2241;-0.00123575
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_316.jpg;4.499862;0.65002;0;1.341586;100.0812;84.47036;1.231706;290.5005;-0.001925451
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_366.jpg;6.744914;0.5003499;0;1.357705;100.1018;84.42021;1.217279;290.8343;0.004040288
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_416.jpg;8.996982;0.350212;0;1.375899;100.1346;84.34521;1.175683;291.5333;0.03634147
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_466.jpg;11.22084;0.2019548;0;1.38242;100.1578;84.29586;1.12761;292.145;0.07810565
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_516.jpg;13.45324;0.053128;0;1.38376;100.1944;84.22338;1.017084;293.2392;0.1698315
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_566.jpg;15;0;0;1.379882;100.22;84.17645;0.9156976;294.0889;0.2547343
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_616.jpg;15;0;0;1.373506;100.2595;84.10757;0.7367726;295.3908;0.400787
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_665.jpg;15;0;0;1.369527;100.2864;84.06255;0.6043702;296.2544;0.5071473
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_716.jpg;15;0;0;1.363388;100.3277;83.99628;0.3926281;297.5405;0.6767399
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_767.jpg;15;0;0;1.359163;100.3559;83.95292;0.2461574;298.3923;0.7944639
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_816.jpg;15;0;0;1.35264;100.3992;83.88902;0.02391908;299.6633;0.9746202
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_865.jpg;15;0.1029693;0;1.34815;100.4286;83.8465;359.9027;300.4883;1.072051
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_916.jpg;12.79685;0.249846;0;1.35512;100.4735;83.78133;359.8228;301.6142;1.1279
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_14_966.jpg;10.54613;0.3998941;0;1.360741;100.5045;83.73584;359.8798;302.2079;1.074453
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_15_016.jpg;8.29694;0.54984;0;1.368753;100.5533;83.66704;0.01277566;303.03;0.9843698
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_15_066.jpg;6.022593;0.7014631;0;1.387868;100.5863;83.6207;0.09128461;303.4802;0.9123415
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_15_116.jpg;3.767869;0.851778;0;1.421175;100.637;83.54921;0.240284;303.9759;0.7856678
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_15_166.jpg;1.500093;1;0;1.44762;100.6715;83.49969;0.36566;304.152;0.681727
/Users/charlescostello/Personal/REND/RoboND-Rover-Project/dataset/IMG/robocam_2018_09_22_13_41_15_216.jpg;0;1;0;1.492182;100.7241;83.4225;0.5924717;304.2247;0.5028071
